Rank,Company,Revenue,Employees,Headquarters,Country,Year,Founded,Industry,Population,X.of.phone.numbers
2,Samsung Electronics,200.734,267937,"Suwon, South Korea",South Korea,2021,1969,Consumer Electronics,51159889,56004887
3,Alphabet,182.527,135301,"Mountain View, California, US",United States,2021,1998,Internet,340110988,380577528
4,Foxconn,181.945,878429,"New Taipei City, Taiwan",Taiwan,2021,1974,Electronics Manufacturing,23317031,28610000
5,Microsoft,143.015,163000,"Redmond, Washington, US",United States,2021,1975,Software & Cloud,340110988,380577528
6,Huawei,129.184,197000,"Shenzhen, China",China,2021,1987,Telecommunications Equipment,1408280000,1610360000
7,Dell Technologies,92.224,158000,"Round Rock, Texas, US",United States,2021,1984,Computer Hardware,340110988,380577528
8,Meta,85.965,58604,"Menlo Park, California, US",United States,2021,2004,Social Media,340110988,380577528
9,Sony,84.893,109700,"Tokyo, Japan",Japan,2021,1946,Conglomerate (Electronics/Entertainment),123210000,146649600
10,Hitachi,82.345,350864,"Tokyo, Japan",Japan,2021,1910,Conglomerate,123210000,146649600
11,Intel,77.867,110600,"Santa Clara, California, US",United States,2021,1968,Semiconductors,340110988,380577528
12,IBM,73.62,364800,"Armonk, New York, US",United States,2021,1911,Information Technology Services,340110988,380577528
13,Tencent,69.864,85858,"Shenzhen, China",China,2021,1998,Internet,1408280000,1610360000
14,Panasonic,63.191,243540,"Osaka, Japan",Japan,2021,1918,Consumer Electronics,123210000,146649600
15,Lenovo,60.742,71500,"Hong Kong, China[6]",China,2021,1984,Computer Hardware,1408280000,1610360000
16,HP Inc.,56.639,53000,"Palo Alto, California, US",United States,2021,1939,Computer Hardware,340110988,380577528
17,LG Electronics,53.625,75000,"Seoul, South Korea",South Korea,2021,1975,Technology Hardware & Equipment,51159889,56004887
1,Amazon,574.8,1525000,"Seattle, Washington & Arlington, Virginia, US",United States,2023,1994,Ecommerce,340110988,380577528
2,Apple,394.33,164000,"Cupertino, California, US",United States,2023,1975,Consumer Electronics,340110988,380577528
3,Alphabet,282.84,190234,"Mountain View, California, US",United States,2023,1998,Internet,340110988,380577528
4,Samsung Electronics,234.13,270372,"Suwon, South Korea",South Korea,2023,1969,Consumer Electronics,51159889,56004887
5,Foxconn,222.54,767062,"New Taipei City, Taiwan",Taiwan,2023,1974,Electronics Manufacturing,23317031,28610000
6,Microsoft,198.27,221000,"Redmond, Washington, US",United States,2023,1975,Software & Cloud,340110988,380577528
7,Jingdong,152.8,310000,"Beijing, China",China,2023,1975,Technology Hardware & Equipment,1408280000,1610360000
8,Alibaba,130.35,204891,"Hangzhou, China & George Town, Cayman Islands",China,2023,1999,Ecommerce,1408280000,1610360000
9,AT&T,122.4,149900,"Dallas, Texas, US",United States,2023,1983,Technology Hardware & Equipment,340110988,380577528
10,Meta,116.61,86482,"Menlo Park, California, US",United States,2023,2004,Social Media,340110988,380577528
11,Deutsche Telekom,112,205000,"Bonn, Germany",Germany,2023,1995,Technology Hardware & Equipment,83491249,107000000
12,Dell Technologies,102.3,133000,"Round Rock, Texas, US",United States,2023,1984,Computer Hardware,340110988,380577528
13,Huawei,95.49,207000,"Shenzhen, China",China,2023,1987,Telecommunications Equipment,1408280000,1610360000
14,Sony,85.25,112994,"Tokyo, Japan",Japan,2023,1946,Conglomerate (Electronics/Entertainment),123210000,146649600
15,Tencent,82.44,108436,"Shenzhen, China",China,2023,1998,Internet,1408280000,1610360000
16,Hitachi,80.39,322525,"Tokyo, Japan",Japan,2023,1910,Conglomerate,123210000,146649600
17,TSMC,76.02,73090,"New Taipei City, Taiwan",Taiwan,2023,1987,Technology Hardware & Equipment,23317031,28610000
18,LG Electronics,64.95,74000,"Seoul, South Korea",South Korea,2023,1975,Technology Hardware & Equipment,51159889,56004887
19,Intel,63.05,131900,"Santa Clara, California, US",United States,2023,1968,Semiconductors,340110988,380577528
20,HP Inc.,62.98,53000,"Palo Alto, California, US",United States,2023,1939,Computer Hardware,340110988,380577528
21,Lenovo,61.95,71500,"Hong Kong China/Morrisville, North Carolina, US[6]",Hong Kong,2023,1984,Computer Hardware,340110988,380577528
22,Panasonic,61.9,233391,"Osaka, Japan",Japan,2023,1918,Consumer Electronics,123210000,146649600
23,Accenture,61.59,721000,"Dublin, Ireland/New York, US",Ireland,2023,1975,Technology Hardware & Equipment,340110988,380577528
24,Nvidia,60.93,29600,"Santa Clara, California, US",United States,2023,1993,Technology Hardware & Equipment,340110988,380577528
25,IBM,60.53,303100,"Armonk, New York, US",United States,2023,1911,Information Technology Services,340110988,380577528
1,Amazon,637.9,1556000,"Seattle, Washington & Arlington, Virginia, US",United States,2025,1994,Ecommerce,340110988,380577528
2,Apple,416,166100,"Cupertino, California, US",United States,2025,1975,Consumer Electronics,340110988,380577528
3,Alphabet,350,190167,"Mountain View, California, US",United States,2025,1998,Internet,340110988,380577528
4,Microsoft,281.7,228000,"Redmond, Washington, US",United States,2025,1975,Software & Cloud,340110988,380577528
5,Samsung Electronics,220.3,270372,"Suwon, South Korea",South Korea,2025,1969,Consumer Electronics,51159889,56004887
6,Foxconn,213.9,767062,"New Taipei City, Taiwan",Taiwan,2025,1974,Electronics Manufacturing,23317031,28610000
7,Meta,164.5,78450,"Menlo Park, California, US",United States,2025,2004,Social Media,340110988,380577528
8,Jingdong,158.8,620000,"Beijing, China",China,2025,1975,Technology Hardware & Equipment,1408280000,1610360000
9,Alibaba,137.3,124320,"Hangzhou, China & George Town, Cayman Islands",China,2025,1999,Ecommerce,1408280000,1610360000
10,Nvidia,130.5,36000,"Sunnyvale, California, US",United States,2025,1993,Technology Hardware & Equipment,340110988,380577528
11,AT&T,122.3,140990,"Dallas, Texas, US",United States,2025,1983,Technology Hardware & Equipment,340110988,380577528
12,Huawei,118.1,208000,"Shenzhen, China",China,2025,1987,Telecommunications Equipment,1408280000,1610360000
13,Deutsche Telekom,112,205000,"Bonn, Germany",Germany,2025,1995,Technology Hardware & Equipment,83491249,107000000
14,Dell Technologies,95.6,108000,"Round Rock, Texas, US",United States,2025,1984,Computer Hardware,340110988,380577528
15,Tencent,91.8,105417,"Shenzhen, China",China,2025,1998,Internet,1408280000,1610360000
16,Sony,90.1,11300,"Tokyo, Japan",Japan,2025,1946,Conglomerate (Electronics/Entertainment),123210000,146649600
17,TSMC,88.3,83825,"New Taipei City, Taiwan",Taiwan,2025,1987,Technology Hardware & Equipment,23317031,28610000
18,Hitachi,80.39,322525,"Tokyo, Japan",Japan,2025,1910,Conglomerate,123210000,146649600
19,Lenovo,69,72000,"Hong Kong China/Morrisville, North Carolina, US[2]",Hong Kong,2025,1984,Computer Hardware,340110988,380577528
20,Accenture,64.9,774000,"Dublin, Ireland/New York, US",Ireland,2025,1975,Technology Hardware & Equipment,340110988,380577528
21,IBM,62.7,270300,"Armonk, New York, US",United States,2025,1911,Information Technology Services,340110988,380577528
22,LG Electronics,57.7,75000,"Seoul, South Korea",South Korea,2025,1975,Technology Hardware & Equipment,51159889,56004887
23,Oracle,57.4,162000,"Austin, Texas, US",United States,2025,1977,Technology Hardware & Equipment,340110988,380577528
24,Cisco,56.7,86200,"San Jose, California, US",United States,2025,1975,Technology Hardware & Equipment,340110988,380577528
25,Panasonic,55.3,228420,"Kadoma, Osaka, Japan",Japan,2025,1918,Consumer Electronics,123210000,146649600
